frame,spot,x,y,width,height,confidence
0,1,114,502,72,33,0.832311749458313
0,2,114,535,72,35,0.8288437128067017
0,3,346,761,75,33,0.8251250982284546
0,4,349,853,75,33,0.8226175904273987
0,5,349,915,75,32,0.822320282459259
0,6,567,225,72,35,0.8221367001533508
0,7,423,851,72,32,0.8183386325836182
0,8,180,151,72,32,0.8177531957626343
0,9,345,566,72,35,0.8175634145736694
0,10,1554,290,72,30,0.8153689503669739
0,11,574,696,75,32,0.8153034448623657
0,12,417,214,72,33,0.8151564598083496
0,13,343,436,75,32,0.8147258758544922
0,14,184,376,75,33,0.8124234676361084
0,15,345,499,78,33,0.8118385076522827
0,16,423,727,72,33,0.811660885810852
0,17,571,561,69,35,0.8108327388763428
0,18,420,434,78,32,0.8101985454559326
0,19,810,907,72,33,0.8085653185844421
0,20,118,951,75,33,0.808478057384491
0,21,420,404,78,32,0.8080454468727112
0,22,342,343,78,32,0.8076130151748657
0,23,423,789,72,30,0.8064842224121094
0,24,184,344,75,33,0.8060691952705383
0,25,186,437,72,32,0.8060482144355774
0,26,1480,228,75,32,0.8047682046890259
0,27,112,439,75,32,0.8034625053405762
0,28,1486,762,75,33,0.8030584454536438
0,29,802,485,75,32,0.8025596141815186
0,30,1716,729,72,32,0.8020059466362
0,31,346,598,69,32,0.8019343018531799
0,32,423,947,72,32,0.8012663722038269
0,33,112,470,69,33,0.8011050224304199
0,34,348,822,78,32,0.8004649877548218
0,35,568,308,75,33,0.7998763918876648
0,36,1716,699,72,32,0.7996156811714172
0,37,417,530,72,35,0.7993842363357544
0,38,193,918,75,33,0.7993637323379517
0,39,1263,795,78,32,0.7991132140159607
0,40,1813,729,69,32,0.7990939617156982
0,41,1335,886,72,32,0.7990847229957581
0,42,1101,674,72,32,0.7989965081214905
0,43,187,534,75,33,0.7982921600341797
0,44,654,972,72,33,0.7982016801834106
0,45,418,148,75,30,0.7973824739456177
0,46,652,909,69,33,0.7972778081893921
0,47,580,1035,81,32,0.7967751622200012
0,48,1027,296,69,32,0.7964437007904053
0,49,1485,475,72,30,0.7961416244506836
0,50,120,919,72,33,0.7954421639442444
0,51,1815,790,66,32,0.7948870062828064
0,52,651,847,72,32,0.7948253154754639
0,53,1561,885,69,32,0.7935959100723267
0,54,421,696,75,32,0.7929182648658752
0,55,1560,761,72,32,0.7926931381225586
0,56,351,1040,72,32,0.7924479246139526
0,57,1717,792,75,32,0.7919931411743164
0,58,1812,444,72,32,0.7917084693908691
0,59,1560,854,72,32,0.7912481427192688
0,60,1332,642,72,32,0.7906935811042786
0,61,349,885,75,32,0.7899526953697205
0,62,1716,605,72,33,0.7898635864257812
0,63,1813,636,69,30,0.7895556688308716
0,64,655,1003,69,32,0.7887042760848999
0,65,1096,232,69,32,0.7882903218269348
0,66,1818,885,66,32,0.78806471824646
0,67,1558,637,75,33,0.7878562808036804
0,68,1714,669,69,32,0.7875930070877075
0,69,1036,798,75,33,0.7874457240104675
0,70,810,844,72,32,0.7872951626777649
0,71,1717,854,69,32,0.7871589064598083
0,72,1816,853,69,30,0.7869095802307129
0,73,345,668,72,30,0.786858856678009
0,74,1263,855,72,33,0.784798800945282
0,75,1036,919,69,30,0.7839643955230713
0,76,1098,198,66,38,0.7826775908470154
0,77,1716,823,72,33,0.7825367450714111
0,78,1713,412,78,32,0.7824146747589111
0,79,577,756,75,32,0.7817702293395996
0,80,121,1069,69,20,0.7817046642303467
0,81,1036,827,75,32,0.7815487384796143
0,82,580,849,75,32,0.7811692953109741
0,83,1263,826,72,32,0.7806082963943481
0,84,1036,734,75,32,0.7802633047103882
0,85,879,937,72,32,0.7788447141647339
0,86,579,942,78,32,0.7786359786987305
0,87,874,843,69,33,0.7785390019416809
0,88,192,887,72,33,0.7784156799316406
0,89,1486,824,75,32,0.7781041264533997
0,90,1813,575,69,30,0.777907133102417
0,91,1257,355,78,32,0.7775548100471497
0,92,1491,886,72,28,0.7773985862731934
0,93,1720,885,75,32,0.7772499918937683
0,94,813,939,72,32,0.7761985063552856
0,95,118,983,69,33,0.7754912376403809
0,96,1558,444,75,32,0.7750268578529358
0,97,1486,607,75,33,0.7746708393096924
0,98,651,817,72,32,0.7737056612968445
